time,Amount
15,1
15,0
30,1
30,2
30,1
45,2
45,3
45,2
60,3
60,2
75,3
75,4
75,3
90,4
90,3
105,4
105,5
105,4
120,5
120,6
120,5
135,6
135,5
150,6
150,7
150,6
165,7
165,8
165,7
180,8
180,7
195,8
195,9
195,8
210,9
210,8
225,9
225,10
225,9
240,10
240,11
240,10
255,11
255,10
270,11
270,12
270,11
285,12
285,11
300,12
300,13
300,12
315,13
315,14
315,13
330,14
330,13
345,14
345,15
345,14
360,15
360,16
360,15
375,16
375,15
390,16
390,17
390,16
405,17
405,16
420,17
420,18
420,17
435,18
435,19
435,18
450,19
450,18
465,19
465,20
465,19
480,20
480,21
480,20
495,21
495,20
510,21
510,22
510,21
525,22
525,21
540,22
540,23
540,22
555,23
555,24
555,23
570,24
570,23
585,24
585,25
585,24
600,25
600,24
615,25
615,26
615,25
630,26
630,27
630,26
645,27
645,26
660,27
660,28
660,27
675,28
675,29
675,28
690,29
690,28
705,29
705,30
705,29
720,30
720,29
735,30
735,31
735,30
750,31
750,32
750,31
765,32
765,31
780,32
780,33
780,32
795,33
795,32
810,33
810,34
810,33
825,34
825,35
825,34
840,35
840,34
855,35
855,36
855,35
870,36
870,37
870,36
885,37
885,36
900,37
900,38
900,37
915,38
915,37
930,38
930,39
930,38
945,39
945,40
945,39
960,40
960,39
975,40
975,41
975,40
990,41
990,42
990,41
