process,arrival,burst_time,turn_arround,response_time,waiting_time
0,15,30,45,0,15
1,30,30,60,0,30
2,45,30,90,15,60
3,60,30,120,30,90
4,75,30,135,30,105
5,90,30,165,45,135
6,105,30,180,45,150
7,120,30,210,60,180
8,135,30,240,75,210
9,150,30,255,75,225
10,165,30,285,90,255
11,180,30,315,105,285
12,195,30,330,105,300
13,210,30,360,120,330
14,225,30,375,120,345
15,240,30,405,135,375
16,255,30,435,150,405
17,270,30,450,150,420
18,285,30,480,165,450
19,300,30,495,165,465
20,315,30,525,180,495
21,330,30,555,195,525
22,345,30,570,195,540
23,360,30,600,210,570
