process,arrival,burst_time,turn_arround,response_time,waiting_time
0,9,10,10,0,0
2,27,10,10,0,0
1,18,10,21,1,11
4,45,10,10,0,0
3,36,10,23,3,13
6,63,10,10,0,0
5,54,10,25,5,15
8,81,10,10,0,0
7,72,10,27,7,17
10,99,10,19,9,9
12,117,10,11,1,1
14,135,10,10,0,0
9,90,10,56,9,46
16,153,10,10,0,0
11,108,10,58,20,48
18,171,10,10,0,0
13,126,10,58,20,48
20,189,10,10,0,0
15,144,10,60,22,50
22,207,10,10,0,0
17,162,10,60,22,50
24,225,10,10,0,0
19,180,10,62,24,52
26,243,10,10,0,0
21,198,10,62,24,52
28,261,10,10,0,0
30,279,10,10,0,0
32,297,10,10,0,0
34,315,10,10,0,0
36,333,10,10,0,0
23,216,10,128,26,118
38,351,10,10,0,0
27,252,10,111,37,101
40,369,10,10,0,0
25,234,10,146,26,136
42,387,10,10,0,0
29,270,10,129,55,119
44,405,10,10,0,0
31,288,10,130,56,120
46,423,10,10,0,0
33,306,10,131,57,121
48,441,10,10,0,0
35,324,10,130,56,120
50,459,10,10,0,0
37,342,10,131,57,121
52,477,10,10,0,0
39,360,10,132,58,122
54,495,10,10,0,0
41,378,10,133,59,123
56,513,10,10,0,0
43,396,10,132,58,122
58,531,10,10,0,0
45,414,10,133,59,123
60,549,10,10,0,0
47,432,10,134,60,124
62,567,10,10,0,0
49,450,10,135,61,125
64,585,10,19,9,9
66,603,10,11,1,1
51,468,10,153,60,143
68,621,10,19,9,9
70,639,10,11,1,1
72,657,10,10,0,0
74,675,10,10,0,0
76,693,10,10,0,0
78,711,10,10,0,0
80,729,10,10,0,0
57,522,10,218,63,208
82,747,10,10,0,0
84,765,10,10,0,0
59,540,10,236,81,226
86,783,10,10,0,0
53,486,10,308,61,298
88,801,10,10,0,0
61,558,10,255,109,245
90,819,10,10,0,0
55,504,10,326,62,316
92,837,10,10,0,0
63,576,10,273,127,263
94,855,10,10,0,0
65,594,10,273,127,263
96,873,10,10,0,0
67,612,10,274,128,264
98,891,10,10,0,0
69,630,10,273,127,263
100,909,10,10,0,0
71,648,10,274,128,264
102,927,10,10,0,0
73,666,10,274,128,264
104,945,10,10,0,0
75,684,10,275,129,265
106,963,10,10,0,0
77,702,10,274,128,264
108,981,10,10,0,0
79,720,10,275,129,265
