time,Amount
9,1
9,0
27,1
27,0
45,1
45,0
63,1
63,0
81,1
81,0
99,1
108,0
117,1
118,0
135,1
135,0
153,1
153,0
171,1
171,0
189,1
189,0
207,1
207,0
225,1
225,0
243,1
243,0
261,1
261,0
279,1
279,0
297,1
297,0
315,1
315,0
333,1
333,0
351,1
351,0
369,1
369,0
387,1
387,0
405,1
405,0
423,1
423,0
441,1
441,0
459,1
459,0
477,1
477,0
495,1
495,0
513,1
513,0
531,1
531,0
549,1
549,0
567,1
567,0
585,1
594,0
603,1
604,0
621,1
630,0
639,1
640,0
657,1
657,0
675,1
675,0
693,1
693,0
711,1
711,0
729,1
729,0
747,1
747,0
765,1
765,0
783,1
783,0
801,1
801,0
819,1
819,0
837,1
837,0
855,1
855,0
873,1
873,0
891,1
891,0
909,1
909,0
927,1
927,0
945,1
945,0
963,1
963,0
981,1
981,0
999,1
999,0
