time,Amount
18,1
19,0
27,1
36,2
37,1
39,0
45,1
54,2
55,1
59,0
63,1
72,2
73,1
79,0
81,1
90,2
91,1
99,0
108,1
108,2
126,3
128,2
135,3
144,4
145,3
146,2
153,3
162,4
163,3
166,2
171,3
180,4
181,3
184,2
189,3
198,4
199,3
204,2
207,3
216,4
217,3
222,2
225,3
234,4
235,3
242,2
243,3
252,4
253,3
260,2
261,3
270,4
271,3
279,4
288,5
289,4
297,5
306,6
307,5
315,6
324,7
325,6
333,7
342,8
343,7
344,6
351,7
360,8
361,7
363,6
369,7
378,8
379,7
380,6
387,7
396,8
397,7
399,6
405,7
414,8
415,7
418,6
423,7
432,8
433,7
437,6
441,7
450,8
451,7
454,6
459,7
468,8
469,7
473,6
477,7
486,8
487,7
492,6
495,7
504,8
505,7
511,6
513,7
522,8
523,7
528,6
531,7
540,8
541,7
547,6
549,7
558,8
559,7
566,6
567,7
576,8
577,7
585,6
594,7
594,8
612,9
614,8
621,7
630,8
630,9
648,10
650,9
657,10
666,11
667,10
675,11
684,12
685,11
693,12
702,13
703,12
711,13
720,14
721,13
729,14
738,15
739,14
740,13
747,14
756,15
757,14
765,15
774,16
775,15
776,14
783,15
792,16
793,15
794,14
801,15
810,16
811,15
813,14
819,15
828,16
829,15
830,14
837,15
846,16
847,15
849,14
855,15
864,16
865,15
867,14
873,15
882,16
883,15
886,14
891,15
900,16
901,15
903,14
909,15
918,16
919,15
922,14
927,15
936,16
937,15
940,14
945,15
954,16
955,15
959,14
963,15
972,16
973,15
976,14
981,15
990,16
991,15
995,14
999,15
