time,Amount
68,1
71,0
139,1
141,2
155,3
168,4
171,5
178,6
188,7
199,8
220,7
222.5,6
223.0,5
232.5,4
234.5,3
239.0,2
240,1
242,0
245,1
264,2
272,1
277.5,0
293,1
300,0
301,1
307,0
332,1
338,0
367,1
381,0
392,1
402,2
408,1
410.5,0
413,1
413,2
425,3
430,2
432,3
441,2
445.5,1
456.0,0
482,1
485,0
489,1
490,0
492,1
493,0
510,1
511,0
553,1
553,2
555,1
557,2
566,1
569,0
572,1
573,0
589,1
589,2
595,1
597.5,0
599,1
602,0
604,1
606,2
615,1
624,2
625,1
627.5,0
667,1
669,2
683,3
698,2
699.5,1
701.0,0
726,1
741,0
744,1
746,0
751,1
757,0
769,1
770,0
835,1
838,0
859,1
864,0
906,1
914,0
952,1
963,2
978,3
994,4
995,5
