time,Amount
26,1
26,0
36,1
36,0
42,1
42,0
68,1
68,0
98,1
98,0
106,1
106,0
139,1
139,2
139,1
140,2
141,3
148,2
151,1
152,2
152,1
155,2
155,3
155,4
155,5
157,4
158,3
165,4
168,3
171,4
178,3
181,4
182,5
188,4
189,3
199,2
207,1
211,0
240,1
243,0
245,1
250,2
250,3
252,2
255,1
257,2
257,1
264,2
266,1
271,0
285,1
285,0
287,1
288,2
288,1
290,0
293,1
297,0
301,1
301,0
324,1
324,0
330,1
330,0
332,1
332,0
344,1
344,0
367,1
367,2
367,1
372,0
392,1
392,2
392,1
395,2
402,1
403,0
413,1
413,0
414,1
418,2
418,1
425,2
428,1
429,0
432,1
432,0
481,1
481,0
482,1
482,0
489,1
489,0
492,1
492,0
510,1
510,0
519,1
519,0
543,1
543,0
553,1
553,0
557,1
557,0
558,1
559,0
572,1
572,0
589,1
589,0
590,1
591,0
599,1
599,0
604,1
604,0
606,1
611,0
624,1
624,0
648,1
648,0
654,1
654,0
667,1
667,0
669,1
669,2
669,3
671,2
673,1
677,2
683,1
690,0
717,1
717,0
723,1
723,0
726,1
727,0
730,1
732,0
744,1
744,0
751,1
751,0
769,1
769,0
796,1
796,0
832,1
832,0
835,1
835,0
849,1
849,2
849,1
855,0
859,1
861,0
867,1
867,0
885,1
885,0
906,1
906,2
906,1
910,0
911,1
911,0
929,1
929,0
952,1
952,0
957,1
959,2
962,1
963,2
963,3
967,2
968,1
973,2
976,3
977,4
978,3
980,2
985,1
994,2
995,1
