process,arrival,burst_time,turn_arround,response_time,waiting_time
0,26,1,1,0,0
1,36,5,5,0,0
2,42,9,9,0,0
3,68,3,3,0,0
4,68,10.5,13.5,3,3
5,98,4,4,0,0
6,106,5,5,0,0
7,139,9,9,0,0
9,139,3,12,9,9
10,140,1,12,11,11
11,141,5,16,11,11
13,152,1,6,5,5
18,155,1,34,33,33
20,171,8,36,28,28
22,181,4,30,26,26
23,182,9,38,29,29
8,139,2.5,83.5,81,81
12,141,0.5,82.0,81.5,81.5
17,155,9.5,77.5,68.0,68.0
14,155,12,79.5,3,67.5
21,171,4.5,68.0,63.5,63.5
15,155,11,85,13,74.0
16,155,12,87,23,75
19,165,11,78,24,67
24,240,9,12,3,3
25,245,3,10,7,7
27,250,2,7,5,5
28,250,9,16,7,7
29,257,5,14,9,9
30,264,1,8,7,7
26,245,5.5,32.5,27,27
31,264,7.5,21,13.5,13.5
32,285,3,3,0,0
33,287,2,3,1,1
34,288,7,9,2,2
35,293,3,7,4,4
37,301,6,6,0,0
36,293,2.5,15.5,7,13
38,324,5,5,0,0
39,330,1,1,0,0
40,332,6,6,0,0
41,332,1.5,7.5,6,6
42,344,1,1,0,0
43,367,5,5,0,0
44,367,9,14,5,5
47,392,1,11,10,10
48,395,5,13,8,8
45,367,13.5,43.5,14,30
49,413,5,5,0,0
51,414,10,14,4,4
52,418,1,11,10,10
53,425,1,5,4,4
55,432,9,9,0,0
46,392,17,53.5,0,36.5
54,425,10.5,31.0,20.5,20.5
50,413,10.5,51.5,17,41.0
56,481,1,1,0,0
57,482,3,3,0,0
59,489,1,1,0,0
60,492,1,1,0,0
58,482,6.5,11.5,3,5
61,510,1,1,0,0
62,510,6.5,7.5,1,1
63,519,8,8,0,0
65,553,2,2,0,0
67,557,2,2,0,0
68,558,7,8,1,1
64,543,13,26,0,13
69,572,1,1,0,0
70,589,2,2,0,0
72,590,4,5,1,1
71,589,2.5,8.5,6,6
73,599,3,3,0,0
74,604,7,7,0,0
75,606,4,9,5,5
77,624,1,1,0,0
76,606,2.5,21.5,19,19
66,553,42.5,83.5,2,41.0
78,648,6,6,0,0
79,654,9,9,0,0
80,667,4,4,0,0
82,669,2,4,2,2
84,669,7,21,14,14
86,677,8,21,13,13
81,667,1.5,32.5,31,31
85,669,1.5,32.0,30.5,30.5
83,669,14,36.0,4,22.0
87,717,3,3,0,0
88,723,4,4,0,0
89,726,5,6,1,1
91,730,9,11,2,2
92,744,2,2,0,0
93,751,6,6,0,0
90,726,13.5,36.5,15,23
94,769,1,1,0,0
95,769,7.5,8.5,1,1
96,796,3,3,0,0
97,832,3,3,0,0
98,835,3,3,0,0
99,835,6.5,9.5,3,3
100,849,6,6,0,0
101,849,6,12,6,6
102,859,3,5,2,2
103,859,1.5,6.5,5,5
104,867,5,5,0,0
105,885,2,2,0,0
106,906,4,4,0,0
107,906,1,5,4,4
109,911,3,3,0,0
108,906,0.5,8.5,8,8
110,929,4,4,0,0
111,952,10,10,0,0
113,957,5,10,5,5
114,959,1,9,8,8
116,963,2,17,15,15
118,973,5,12,7,7
