time,Amount
31,1
31,0
44,2
52,1
52,0
65,1
65,0
68,1
72,2
75,1
77,0
81,2
84,1
84,1
84,0
101,1
101,0
105,1
111,0
151,1
151,1
151,0
160,1
160,0
189,1
189,0
206,1
206,1
206,0
223,1
223,3
223,0
227,1
231,2
232,3
232,2
234,1
236,0
397,1
397,1
397,0
459,1
459,1
459,0
467,1
470,0
503,1
503,0
520,2
535,2
545,1
545,2
545,0
546,1
549,0
550,1
551,2
552,3
559,2
560,1
562,2
568,1
578,0
593,1
593,2
593,0
597,1
597,3
597,0
611,1
611,3
611,0
613,1
617,0
621,1
627,0
628,1
628,0
642,1
642,3
642,0
661,1
661,1
661,0
713,1
713,0
715,1
717,0
753,1
753,1
753,0
801,1
801,0
816,2
845,1
845,0
899,1
899,0
931,1
931,0
948,1
948,0
952,1
958,0
959,1
961,0
973,1
973,1
973,0
975,1
976,2
983,1
985,0
