time,Amount
25,1
25,0
40,1
40,0
55,1
55,0
70,1
70,0
85,1
85,0
100,1
100,0
115,1
115,0
130,1
130,0
145,1
145,0
160,1
160,0
175,1
175,0
190,1
190,0
205,1
205,0
220,1
220,0
235,1
235,0
250,1
250,0
265,1
265,0
280,1
280,0
295,1
295,0
310,1
310,0
325,1
325,0
340,1
340,0
355,1
355,0
370,1
370,0
385,1
385,0
400,1
400,0
415,1
415,0
430,1
430,0
445,1
445,0
460,1
460,0
475,1
475,0
490,1
490,0
505,1
505,0
520,1
520,0
535,1
535,0
550,1
550,0
565,1
565,0
580,1
580,0
595,1
595,0
610,1
610,0
625,1
625,0
640,1
640,0
655,1
655,0
670,1
670,0
685,1
685,0
700,1
700,0
715,1
715,0
730,1
730,0
745,1
745,0
760,1
760,0
775,1
775,0
790,1
790,0
805,1
805,0
820,1
820,0
835,1
835,0
850,1
850,0
865,1
865,0
880,1
880,0
895,1
895,0
910,1
910,0
925,1
925,0
940,1
940,0
955,1
955,0
970,1
970,0
985,1
985,0
