time,Amount
10,1
18.75,0
27,1
27,2
29,3
55.0,4
67.75,5
67.75,4
71,5
71,6
81,7
96.25,8
96.25,7
104,8
104,9
105,10
111,11
130.75,12
145.25,13
159.75,14
161,15
169.75,16
182.75,15
184,16
184,17
194,18
207,19
209.5,20
225,21
245.75,22
255.75,23
255.75,22
269.0,21
269.25,20
278,21
278,22
280,23
285,24
288,25
298,26
325.0,27
335.0,28
345.0,29
362.5,30
372.25,29
374,30
374,31
383,32
386,33
386,34
389.25,35
399.25,36
416,37
430.0,38
443,39
451.5,40
465,41
467.75,42
480.0,43
499,44
509.0,45
526.25,46
544.75,47
554.75,48
564,49
564.75,50
567,51
574.75,52
584.75,53
594.75,54
623.0,55
633.0,56
643.0,57
653.0,58
676,59
684,60
689.5,61
691,62
691,63
704,64
715.5,65
730,66
751,67
760.75,68
774,69
779.0,70
789.0,71
799.0,72
812,73
813.5,74
816,75
841,76
851,77
851,78
863,79
863.5,80
885.25,81
897.5,82
908,83
915,84
919.0,85
920,86
921,87
929.0,88
948.25,89
952,90
958,91
958.5,92
965,93
968.5,94
978.5,95
995.75,96
