time,Amount
10,1
10,2
10,3
10,2
11.25,1
17.5,0
27,1
27,2
27,3
27,4
27,3
28.25,2
29,3
29,4
29,5
29,6
29,7
33.5,6
41.75,5
45.0,4
55.0,3
55.25,2
57.5,1
57.75,0
71,1
71,2
71,3
71,2
81,1
86.25,0
104,1
104,2
104,3
104,2
105,3
105,4
105,5
106.25,4
111,5
111,6
111,7
111,8
111,9
111,10
113.5,9
120.75,8
130.75,7
134.0,6
135.25,5
145.25,4
145.5,3
149.75,2
159.75,1
161,2
161,3
161,4
169.75,3
174.0,2
180.25,1
180.5,0
184,1
184,2
184,3
184,4
184,5
184,4
194,3
198.25,2
199.5,1
207,2
207,3
207,4
209.5,3
213.75,2
223.0,1
224.25,0
225,1
225,2
225,3
228.5,2
235.75,1
245.75,0
278,1
278,2
278,3
278,4
278,3
280,4
280,5
280,6
280,7
280,8
280,9
285,10
285,11
285,12
285,13
285,14
288,13
298,12
305.25,11
313.5,10
314.75,9
315.0,8
325.0,7
335.0,6
345.0,5
345.25,4
352.5,3
362.5,2
366.75,1
368.0,0
374,1
374,2
374,3
374,4
374,5
374,6
374,5
379.25,4
383,5
383,6
383,7
383,8
383,9
383,10
386,11
386,12
386,13
386,14
386,15
386,16
386,17
386,18
386,19
389.25,18
399.25,17
406.5,16
412.75,15
416,16
416,17
416,18
416,19
420.0,18
430.0,17
439.25,16
441.5,15
443,16
443,17
443,18
451.5,17
457.75,16
465,17
465,18
465,19
465,20
465,21
467.75,20
470.0,19
480.0,18
485.25,17
487.5,16
493.75,15
499,16
499,17
499,18
499.0,17
509.0,16
516.25,15
526.25,14
533.5,13
534.75,12
544.75,11
554.75,10
564,11
564,12
564,13
564,14
564.75,13
567,14
567,15
567,16
567,17
567,18
567,19
574.75,18
584.75,17
594.75,16
595.0,15
600.25,14
602.5,13
607.75,12
613.0,11
623.0,10
633.0,9
643.0,8
653.0,7
657.25,6
664.5,5
671.75,4
673.0,3
676,4
676,5
676,6
677.25,5
679.5,4
684,5
684,6
684,7
684,8
684,9
689.5,8
691,9
691,10
691,11
691,12
691,13
691,14
691,15
691,16
691,17
691,18
693.75,17
700.0,16
704,17
704,18
704,19
705.25,18
705.5,17
715.5,16
717.75,15
721.0,14
727.25,13
730,14
730,15
730,16
730,17
730.5,16
736.75,15
738.0,14
744.25,13
746.5,12
750.75,11
751,12
751,13
751,14
751,15
760.75,14
769.0,13
774,14
774,15
774,16
774,17
774,18
774,19
779.0,18
789.0,17
799.0,16
801.25,15
803.5,14
812,15
812,16
812,17
812,18
812,19
812,20
813.5,19
815.75,18
816,19
816,20
816,21
816,22
816,23
816,24
820.0,23
820.25,22
822.5,21
823.75,20
827.0,19
835.25,18
840.5,17
841,18
841,19
841,20
841,21
841,22
841,23
843.75,22
846.0,21
847.25,20
851,21
851,22
851,23
851,24
851,25
851,26
851,27
851,28
851,29
853.5,28
863,29
863,30
863,31
863,32
863,33
863,34
863.5,33
870.75,32
871.0,31
875.25,30
885.25,29
887.5,28
897.5,27
900.75,26
908,27
908,28
908,29
909.0,28
915,29
915,30
915,31
919.0,30
920,31
920,32
920,33
920,34
920,35
920,36
921,37
921,38
921,39
929.0,38
938.25,37
948.25,36
948.5,35
952,36
952,37
952,38
952,39
958,40
958,41
958,42
958,43
958,44
958.5,43
965,44
965,45
965,46
965,47
968.5,46
978.5,45
985.75,44
995.75,43
