process,arrival,burst_time,turn_arround,response_time,waiting_time
1,2,1.25,1.25,0,0
5,2,0.25,31.5,31.25,31.25
6,2,1.25,32.75,31.5,31.5
9,6,8.25,47.0,38.75,38.75
10,6,1.25,48.25,47.0,47.0
12,6,1.25,59.5,58.25,58.25
14,13,3.25,55.75,52.5,52.5
15,13,2.25,58.0,55.75,55.75
16,13,2.25,60.25,58.0,58.0
18,49,9.25,33.5,24.25,24.25
20,49,4.25,47.75,43.5,43.5
22,73,2.25,26.0,23.75,23.75
23,73,5.25,31.25,26.0,26.0
26,73,2.25,53.5,51.25,51.25
27,73,1.25,54.75,53.5,53.5
29,82,6.25,52.0,45.75,45.75
30,82,7.25,59.25,52.0,52.0
31,82,6.25,65.5,59.25,59.25
32,82,1.25,66.75,65.5,65.5
34,152,8.25,8.25,0,0
42,156,1.25,65.5,64.25,64.25
44,178,7.25,50.75,43.5,43.5
45,178,9.25,60.0,50.75,50.75
46,178,8.25,68.25,60.0,60.0
47,178,1.25,69.5,68.25,68.25
53,197,1.25,91.75,90.5,90.5
57,198,0.25,111.0,110.75,110.75
59,198,6.25,127.25,121.0,121.0
62,240,4.25,99.5,95.25,95.25
63,240,5.25,104.75,99.5,99.5
66,254,2.25,103.0,100.75,100.75
67,254,4.25,107.25,103.0,103.0
70,254,9.25,136.5,127.25,127.25
72,269,8.25,129.75,121.5,121.5
74,269,4.25,144.0,139.75,139.75
75,269,3.25,147.25,144.0,144.0
78,323,3.25,106.5,103.25,103.25
80,323,1.25,117.75,116.5,116.5
81,323,4.25,122.0,117.75,117.75
84,345,6.25,116.25,110.0,110.0
85,345,3.25,119.5,116.25,116.25
86,345,1.25,120.75,119.5,119.5
87,345,2.25,123.0,120.75,120.75
89,360,0.25,108.25,108.0,108.0
90,360,7.25,115.5,108.25,108.25
91,360,0.25,115.75,115.5,115.5
92,360,0.25,116.0,115.75,115.75
94,364,0.25,112.25,112.0,112.0
97,364,0.25,132.5,132.25,132.25
100,399,4.25,111.75,107.5,107.5
101,399,3.25,115.0,111.75,111.75
104,427,0.25,97.25,97.0,97.0
105,427,4.25,101.5,97.25,97.25
108,490,5.25,53.75,48.5,48.5
110,490,1.25,65.0,63.75,63.75
111,490,3.25,68.25,65.0,65.0
114,513,2.25,57.5,55.25,55.25
117,543,0.25,37.75,37.5,37.5
118,543,0.25,38.0,37.75,37.75
120,543,3.25,51.25,48.0,48.0
122,565,2.25,31.5,29.25,29.25
123,565,3.25,34.75,31.5,31.5
124,565,0.25,35.0,34.75,34.75
125,565,1.25,36.25,35.0,35.0
127,587,8.25,22.5,14.25,14.25
128,587,3.25,25.75,22.5,22.5
129,587,0.25,26.0,25.75,25.75
131,609,1.25,5.25,4.0,4.0
132,609,4.25,9.5,5.25,5.25
136,609,3.25,42.75,39.5,39.5
138,613,4.25,43.0,38.75,38.75
139,613,7.25,50.25,43.0,43.0
141,613,8.25,68.5,60.25,60.25
143,613,5.25,83.75,78.5,78.5
145,613,2.25,86.0,83.75,83.75
146,613,6.25,92.25,86.0,86.0
147,613,0.25,92.5,92.25,92.25
149,616,0.25,89.75,89.5,89.5
150,616,2.25,92.0,89.75,89.75
151,616,1.25,93.25,92.0,92.0
152,616,4.25,97.5,93.25,93.25
154,620,9.25,102.75,93.5,93.5
156,620,3.25,116.0,112.75,112.75
157,620,8.25,124.25,116.0,116.0
159,636,2.25,110.5,108.25,108.25
160,636,9.25,119.75,110.5,110.5
162,636,4.25,134.0,129.75,129.75
163,636,7.25,141.25,134.0,134.0
165,638,2.25,141.5,139.25,139.25
166,638,3.25,144.75,141.5,141.5
168,638,7.25,162.0,154.75,154.75
169,638,0.25,162.25,162.0,162.0
171,657,7.25,150.5,143.25,143.25
172,657,9.25,159.75,150.5,150.5
173,657,2.25,162.0,159.75,159.75
176,682,2.25,149.25,147.0,147.0
178,682,2.25,161.5,159.25,159.25
179,682,8.25,169.75,161.5,161.5
180,682,7.25,177.0,169.75,169.75
181,682,0.25,177.25,177.0,177.0
183,730,3.25,132.5,129.25,129.25
187,730,0.25,162.75,162.5,162.5
190,733,2.25,172.0,169.75,169.75
191,733,6.25,178.25,172.0,172.0
192,733,5.25,183.5,178.25,178.25
193,733,7.25,190.75,183.5,183.5
194,733,3.25,194.0,190.75,190.75
198,734,3.25,216.25,213.0,213.0
199,734,4.25,220.5,216.25,216.25
202,741,7.25,230.75,223.5,223.5
203,741,1.25,232.0,230.75,230.75
204,741,0.25,232.25,232.0,232.0
207,754,0.25,229.5,229.25,229.25
208,754,7.25,236.75,229.5,229.5
209,754,8.25,245.0,236.75,236.75
