process,arrival,burst_time,turn_arround,response_time,waiting_time
0,9,4,4,0,0
2,23,3,3,0,0
1,11,13,18,2,5
3,37,1,1,0,0
4,49,3,3,0,0
5,59,5,5,0,0
8,68,1,1,0,0
6,59,9,17,5,8
9,68,2,10,8,8
7,66,3,13,0,10
10,85,2,2,0,0
12,88,2,2,0,0
11,85,2,6,2,4
13,90,1,2,1,1
14,92,3,3,0,0
16,103,3,3,0,0
17,113,1,1,0,0
18,113,2,3,1,1
15,101,11,17,0,6
19,130,1,1,0,0
20,131,3,3,0,0
22,137,6,6,0,0
21,131,5,14,3,9
23,151,7,7,0,0
24,172,2,2,0,0
25,174,1,1,0,0
26,205,2,2,0,0
27,208,1,1,0,0
28,212,2,2,0,0
29,215,2,2,0,0
30,235,3,3,0,0
31,239,5,5,0,0
33,263,2,2,0,0
32,261,17,19,0,2
34,284,1,1,0,0
35,289,5,5,0,0
36,302,2,2,0,0
37,317,1,1,0,0
38,322,3,3,0,0
39,346,8,8,0,0
40,354,13,13,0,0
41,376,6,6,0,0
44,378,3,7,4,4
43,377,5,15,10,10
45,387,3,8,5,5
42,376,4,21,9,17
46,399,1,1,0,0
47,421,4,4,0,0
48,432,7,7,0,0
49,439,7,7,0,0
51,455,1,11,10,10
50,455,12,13,0,1
52,473,8,8,0,0
53,475,2,8,6,6
54,478,1,6,5,5
56,483,1,2,1,1
55,482,1,4,3,3
57,495,2,2,0,0
58,516,6,6,0,0
59,527,15,15,0,0
60,600,1,1,0,0
61,604,4,4,0,0
62,615,2,2,0,0
63,624,4,4,0,0
64,641,11,11,0,0
66,672,2,2,0,0
65,669,8,10,0,2
67,682,2,2,0,0
68,684,10,10,0,0
70,696,1,1,0,0
69,687,5,13,7,8
71,703,7,7,0,0
72,728,7,7,0,0
73,744,1,1,0,0
74,757,3,3,0,0
75,758,6,8,2,2
76,761,5,10,5,5
77,773,8,8,0,0
78,793,11,11,0,0
79,815,3,3,0,0
80,838,8,8,0,0
83,853,1,4,3,3
84,856,3,17,14,14
81,845,11,31,1,20
82,851,6,30,0,24
87,866,3,18,15,15
86,860,11,25,0,14
88,880,8,13,5,5
85,857,15,60,19,45
90,911,3,9,6,6
89,898,14,23,0,9
91,921,1,1,0,0
92,922,1,1,0,0
93,930,7,7,0,0
94,934,1,4,3,3
95,960,8,8,0,0
96,962,8,14,6,6
97,974,3,5,2,2
98,986,8,8,0,0
