process,arrival,burst_time,turn_arround,response_time,waiting_time
0,15,20,30,0,10
1,30,20,25,0,5
2,45,20,90,10,70
5,90,20,55,0,35
3,60,20,90,5,70
6,105,20,55,0,35
4,75,20,90,0,70
7,120,20,55,0,35
8,135,20,270,40,250
17,270,20,145,0,125
9,150,20,270,35,250
18,285,20,145,0,125
10,165,20,270,30,250
19,300,20,145,0,125
11,180,20,270,25,250
20,315,20,145,0,125
12,195,20,270,20,250
21,330,20,145,0,125
13,210,20,270,15,250
22,345,20,145,0,125
14,225,20,270,10,250
23,360,20,145,0,125
15,240,20,270,5,250
24,375,20,145,0,125
16,255,20,270,0,250
25,390,20,145,0,125
