time,Amount
25,1
25,0
30,1
40,2
40,1
45,0
65,1
75,2
85,3
85,2
90,3
100,4
100,3
105,4
115,5
115,4
120,5
130,6
130,5
135,4
145,3
150,2
160,1
165,0
185,1
195,2
205,3
215,4
225,5
235,6
245,7
255,8
265,9
265,8
270,9
280,10
280,9
285,10
295,11
295,10
300,11
310,12
310,11
315,12
325,13
325,12
330,13
340,14
340,13
345,14
355,15
355,14
360,15
370,16
370,15
375,16
385,17
385,16
390,17
400,18
400,17
405,16
415,15
420,14
430,13
435,12
445,11
450,10
460,9
465,8
475,7
480,6
490,5
495,4
505,3
510,2
520,1
525,0
545,1
555,2
565,3
575,4
585,5
595,6
605,7
615,8
625,9
635,10
645,11
655,12
665,13
675,14
685,15
695,16
705,17
715,18
725,19
735,20
745,21
755,22
765,23
775,24
785,25
795,26
805,27
805,26
810,27
820,28
820,27
825,28
835,29
835,28
840,29
850,30
850,29
855,30
865,31
865,30
870,31
880,32
880,31
885,32
895,33
895,32
900,33
910,34
910,33
915,34
925,35
925,34
930,35
940,36
940,35
945,36
955,37
955,36
960,37
970,38
970,37
975,38
985,39
985,38
990,39
