time,Amount
15,1
15,0
30,1
30,0
45,1
55,0
60,1
65,0
75,1
75,0
90,1
90,0
105,1
105,0
120,1
120,0
135,1
150,2
165,3
175,2
180,3
185,2
195,3
195,2
205,1
210,2
215,1
225,2
225,1
235,0
240,1
245,0
255,1
255,0
270,1
270,0
285,1
285,0
300,1
300,0
315,1
315,0
330,1
330,0
345,1
345,0
360,1
360,0
375,1
375,0
390,1
390,0
405,1
420,2
435,3
450,4
465,5
480,6
495,7
510,8
525,9
535,8
540,9
545,8
555,9
555,8
565,7
570,8
575,7
585,8
585,7
595,6
600,7
605,6
615,7
615,6
625,5
630,6
635,5
645,6
645,5
655,4
660,5
665,4
675,5
675,4
685,3
690,4
695,3
705,4
705,3
715,2
720,3
725,2
735,3
735,2
745,1
750,2
755,1
765,2
765,1
775,0
780,1
785,0
795,1
795,0
810,1
810,0
825,1
825,0
840,1
840,0
855,1
855,0
870,1
870,0
885,1
885,0
900,1
900,0
915,1
915,0
930,1
930,0
945,1
945,0
960,1
960,0
975,1
975,0
990,1
990,0
