time,Amount
25,1
25,0
40,2
40,1
55,3
55,2
70,4
70,3
85,5
85,4
100,6
100,5
115,7
115,6
130,8
130,7
135,6
160,8
170,9
180,10
190,11
190,10
205,12
205,11
220,13
220,12
235,14
235,13
250,15
250,14
265,16
265,15
280,17
280,16
285,15
310,17
320,18
330,19
340,20
340,19
355,21
355,20
370,22
370,21
385,23
385,22
400,24
400,23
415,25
415,24
430,26
430,25
445,27
445,26
450,25
475,27
485,28
495,29
505,30
505,29
520,31
520,30
535,32
535,31
550,33
550,32
565,34
565,33
580,35
580,34
595,36
595,35
600,34
625,36
635,37
645,38
655,39
655,38
670,40
670,39
685,41
685,40
700,42
700,41
715,43
715,42
730,44
730,43
745,45
745,44
760,46
760,45
775,47
775,46
790,48
790,47
795,46
820,48
830,49
840,50
850,51
850,50
865,52
865,51
880,53
880,52
895,54
895,53
910,55
910,54
925,56
925,55
940,57
940,56
945,55
970,57
980,58
990,59
