process,arrival,burst_time,turn_arround,response_time,waiting_time
0,15,10,10,0,0
1,30,10,10,0,0
2,45,10,10,0,0
3,60,10,10,0,0
4,75,10,10,0,0
5,90,10,10,0,0
6,105,10,10,0,0
7,120,10,10,0,0
8,135,10,10,0,0
9,150,10,10,0,0
10,165,10,10,0,0
11,180,10,10,0,0
12,195,10,10,0,0
13,210,10,10,0,0
14,225,10,10,0,0
15,240,10,10,0,0
16,255,10,10,0,0
17,270,10,10,0,0
18,285,10,10,0,0
19,300,10,10,0,0
20,315,10,10,0,0
21,330,10,10,0,0
22,345,10,10,0,0
23,360,10,10,0,0
24,375,10,10,0,0
25,390,10,10,0,0
26,405,10,10,0,0
27,420,10,10,0,0
28,435,10,10,0,0
29,450,10,10,0,0
30,465,10,10,0,0
31,480,10,10,0,0
32,495,10,10,0,0
33,510,10,10,0,0
34,525,10,10,0,0
35,540,10,10,0,0
36,555,10,10,0,0
37,570,10,10,0,0
38,585,10,10,0,0
39,600,10,10,0,0
40,615,10,10,0,0
41,630,10,10,0,0
42,645,10,10,0,0
43,660,10,10,0,0
44,675,10,10,0,0
45,690,10,10,0,0
46,705,10,10,0,0
47,720,10,10,0,0
48,735,10,10,0,0
49,750,10,10,0,0
50,765,10,10,0,0
51,780,10,10,0,0
52,795,10,10,0,0
53,810,10,10,0,0
54,825,10,10,0,0
55,840,10,10,0,0
56,855,10,10,0,0
57,870,10,10,0,0
58,885,10,10,0,0
59,900,10,10,0,0
60,915,10,10,0,0
61,930,10,10,0,0
62,945,10,10,0,0
63,960,10,10,0,0
64,975,10,10,0,0
