time,Amount
15,1
15,0
30,1
30,1
30,0
45,1
45,2
45,0
60,1
60,3
60,0
75,1
75,4
75,0
90,1
90,5
90,0
105,1
105,6
105,0
120,1
120,7
120,0
135,1
150,2
150,7
150,1
160,0
165,1
170,0
180,1
180,0
195,1
195,11
195,0
210,1
210,12
210,0
225,1
225,13
225,0
240,1
240,14
240,0
255,1
255,15
255,0
270,1
270,16
270,0
285,1
300,2
300,16
300,1
310,0
315,1
320,0
330,1
330,0
345,1
345,20
345,0
360,1
360,21
360,0
375,1
375,22
375,0
390,1
390,23
390,0
405,1
405,24
405,0
420,1
420,25
420,0
435,1
435,26
435,0
450,1
465,2
465,26
465,1
475,0
480,1
485,0
495,1
495,0
510,1
510,30
510,0
525,1
525,31
525,0
540,1
540,32
540,0
555,1
555,33
555,0
570,1
570,34
570,0
585,1
585,35
585,0
600,1
615,2
615,35
615,1
625,0
630,1
635,0
645,1
645,0
660,1
660,39
660,0
675,1
675,40
675,0
690,1
690,41
690,0
705,1
705,42
705,0
720,1
720,43
720,0
735,1
735,44
735,0
750,1
750,45
750,0
765,1
765,46
765,0
780,1
780,47
780,0
795,1
810,2
810,47
810,1
820,0
825,1
830,0
840,1
840,0
855,1
855,51
855,0
870,1
870,52
870,0
885,1
885,53
885,0
900,1
900,54
900,0
915,1
915,55
915,0
930,1
930,56
930,0
945,1
960,2
960,56
960,1
970,0
975,1
980,0
990,1
990,0
